,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
481,2019,611,4,LICEO DIEGO PORTALES, ,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,"-29,953033450000","-71,336753850000",1,310,363,510,0,0,0,0,0,0,0,0,1,1,7,COLEGIO LAICO,GRATUITO,GRATUITO
482,2019,612,2,ESCUELA GUILLERMO CERECEDA, ,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,"-29,971704480000","-71,325454710000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
483,2019,613,0,COLEGIO DE ARTES CLAUDIO ARRAU, ,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,"-29,961269380000","-71,338294980000",1,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
484,2019,614,9,ESCUELA PRESIDENTE ANIBAL PINTO, ,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,"-29,955734250000","-71,339958190000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
485,2019,615,7,ESCUELA COQUIMBO, ,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,"-29,954364780000","-71,336265560000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,7,LAICA,GRATUITO,GRATUITO
486,2019,616,5,ESCUELA CARDENAL JOSE MARIA CARO, ,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,"-29,967342380000","-71,339103700000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
487,2019,617,3,COLEGIO SANTA CECILIA, ,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,"-29,953660960000","-71,343254090000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,7,LAICA,GRATUITO,GRATUITO
488,2019,618,1,ESCUELA SANTO TOMAS DE AQUINO, ,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,"-29,962001800000","-71,254203800000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,7,LAICO,GRATUITO,GRATUITO
489,2019,620,3,ESCUELA JOSE ALFARO ALFARO, ,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,"-29,957183840000","-71,261787410000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,7,LAICA,GRATUITO,GRATUITO
490,2019,621,1,ESCUELA BASICA MARIO MUNOZ SILVA, ,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,"-29,967279430000","-71,327621460000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
